Name,Num,Mobile
# Note: The source field of the tweet, must be encoded to ascii from unicode, with errors ignored (str.encode('ascii', 'ignore')) to get a match
web,93679,FALSE
"<a href=""https://www.myfxbook.com"" rel=""nofollow"">Myfxbook</a>",13,FALSE
"<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Chromed Bird</a>",142,FALSE
"<a href=""http://zhyu.me/"" rel=""nofollow"">Hilbert Space~</a>",20,FALSE
"<a href=""http://yfrog.com"" rel=""nofollow"">Yfrog</a>",36,MIXED
"<a href=""http://wx.a2ad.com/"" rel=""nofollow"">Newswire</a>",123,FALSE
"<a href=""http://www.zepan.org/software/tweetly-updater/"" rel=""nofollow"">Tweetly Updater</a>",24,FALSE
"<a href=""http://www.yousavetube.com"" rel=""nofollow"">today youtube</a>",32,FALSE
"<a href=""http://www.yoono.com"" rel=""nofollow"">yoono</a>",157,MIXED
"<a href=""http://www.yahoo.com"" rel=""nofollow"">Yahoo!</a>",30,FALSE
"<a href=""http://www.wpsyndicator.com"" rel=""nofollow"">WPSyndicator</a>",18,FALSE
"<a href=""http://www.where.com"" rel=""nofollow"">WHERE app</a>",27,FALSE
"<a href=""http://www.webnextstep.com"" rel=""nofollow"">uiop</a>",20,FALSE
"<a href=""http://www.weather-display.com/files.php"" rel=""nofollow"">Weather Display</a>",33,FALSE
"<a href=""http://www.visibli.com"" rel=""nofollow"">Visibli</a>",174,FALSE
"<a href=""http://www.ustream.tv"" rel=""nofollow"">Ustream.TV</a>",140,MIXED
"<a href=""http://www.typepad.com/"" rel=""nofollow"">TypePad</a>",20,FALSE
"<a href=""http://www.twitterlive.net"" rel=""nofollow"">Tweetlive</a>",22,FALSE
"<a href=""http://www.twittergadget.com"" rel=""nofollow"">tGadget</a>",60,FALSE
"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",9,TRUE
"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",429,FALSE
"<a href=""http://www.twitscoop.com"" rel=""nofollow"">Twitscoop</a>",71,MIXED
"<a href=""http://www.twitjobsearch.com/"" rel=""nofollow"">TwitJobSearch.com Jobs</a>",19,FALSE
"<a href=""http://www.twitition.com"" rel=""nofollow"">Twitition</a>",35,FALSE
"<a href=""http://www.twitiq.com"" rel=""nofollow"">TwitIQ</a>",93,FALSE
"<a href=""http://www.twhirl.org"" rel=""nofollow"">Seesmic twhirl</a>",357,FALSE
"<a href=""http://www.tweetwawa.com"" rel=""nofollow"">Tweetwawa</a>",58,FALSE
"<a href=""http://www.tweets60.com/"" rel=""nofollow"">Tweets60</a>",46,TRUE
"<a href=""http://www.tweetmeapp.com"" rel=""nofollow"">TweetMe for Palm</a>",18,TRUE
"<a href=""http://www.tweetings.net/"" rel=""nofollow"">Tweetings</a>",7,MIXED
"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",451,MIXED
"<a href=""http://www.twalue.com/"" rel=""nofollow"">Twalue</a>",22,FALSE
"<a href=""http://www.twalky.com"" rel=""nofollow"">Twalky</a>",266,FALSE
"<a href=""http://www.twaitter.com"" rel=""nofollow"">Twaitter</a>",526,FALSE
"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",2916,FALSE
"<a href=""http://www.swift-app.com/"" rel=""nofollow"">Swift</a>",13,TRUE
"<a href=""http://www.sweeva.com"" rel=""nofollow"">Sweeva</a>",13,FALSE
"<a href=""http://www.superinhuman.com/badkitty"" rel=""nofollow"">Bad Kitty</a>",14,TRUE
"<a href=""http://www.sponsoredtweets.com"" rel=""nofollow"">Sponsored Tweets</a>",13,FALSE
"<a href=""http://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",763,FALSE
"<a href=""http://www.snaptu.com"" rel=""nofollow"">Snaptu</a>",1504,TRUE
"<a href=""http://www.snaptu.com"" rel=""nofollow"">Snaptu.com</a>",1791,TRUE
"<a href=""http://www.sidekick.com"" rel=""nofollow"">T-Mobile Sidekick</a>",486,TRUE
"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>",137,TRUE
"<a href=""http://www.reverbnation.com/"" rel=""nofollow"">ReverbNation</a>",22,FALSE
"<a href=""http://www.qwitter-client.net"" rel=""nofollow"">Qwitter Client</a>",28,FALSE
"<a href=""http://www.photozz.com"" rel=""nofollow"">PhotoZZ</a>",32,FALSE
"<a href=""http://www.panoramicsoft.com/mobileapps/motweets/moTweets.php"" rel=""nofollow"">Panoramic moTweets</a>",242,TRUE
"<a href=""http://www.osfoora.com"" rel=""nofollow"">Osfoora HD</a>",31,TRUE
"<a href=""http://www.osfoora.com"" rel=""nofollow"">Osfoora for iPhone</a>",589,TRUE
"<a href=""http://www.ogapponline.com"" rel=""nofollow"">Original Gangstaz</a>",12,TRUE
"<a href=""http://www.nimbuzz.com"" rel=""nofollow"">Nimbuzz Mobile</a>",60,TRUE
"<a href=""http://www.nibirutech.com/"" rel=""nofollow"">TwitBird iPad</a>",5,TRUE
"<a href=""http://www.nibirutech.com"" rel=""nofollow"">TwitBird</a>",1523,TRUE
"<a href=""http://www.newzfor.me"" rel=""nofollow"">NewzFor.me</a>",471,FALSE
"<a href=""http://www.newstreamer.com/"" rel=""nofollow"">Newstreamer</a>",121,FALSE
"<a href=""http://www.networkedblogs.com/"" rel=""nofollow"">NetworkedBlogs</a>",65,FALSE
"<a href=""http://www.nambu.com/"" rel=""nofollow"">Nambu</a>",43,FALSE
"<a href=""http://www.myyearbook.com/"" rel=""nofollow"">myYearbook Share</a>",332,FALSE
"<a href=""http://www.mytweetplace.com"" rel=""nofollow"">My Tweet  Place</a>",18,FALSE
"<a href=""http://www.myspace.com/sync"" rel=""nofollow"">MySpace</a>",747,FALSE
"<a href=""http://www.myfeedme.com"" rel=""nofollow"">MyFeedMe</a>",13,FALSE
"<a href=""http://www.movatwi.jp"" rel=""nofollow"">www.movatwi.jp</a>",22,TRUE
"<a href=""http://www.Motorola.com/Consumers/US-EN/Consumer-Product-and-Services/MOTOBLUR/Meet-MOTOBLUR?WT.mc_id=Global_Twitter-to-motoblur&WT.mc_ev=click"" rel=""nofollow"">MOTOBLUR</a>",309,TRUE
"<a href=""http://www.motorola.com"" rel=""nofollow"">DROID</a>",12,TRUE
"<a href=""http://www.message-broadcaster.com"" rel=""nofollow"">Message Broadcaster</a>",134,FALSE
"<a href=""http://www.loopt.com"" rel=""nofollow"">Loopt</a>",29,TRUE
